Village,Latitude,Longitude,Feature_ID,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI,SWIR_Ratio,Elevation_m,Slope_deg,Aspect_deg,Hillshade,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,LST_K,Precipitation_Mean_m,Clay_Fraction_g_kg,Silt_Fraction_g_kg,Sand_Fraction_g_kg
Brahmadevam,14.348,80.068,28_515_shc_2025-26.10687,188.0,8.2,28.1,0.65,0.0621000006794929,0.0641999989748001,0.0949999988079071,0.0901999995112419,0.1515000015497207,0.2635999917984009,0.325899988412857,0.3188000023365021,0.3472999930381775,0.2619000077247619,0.2173999994993209,0.1318999975919723,0.5589241981506348,0.3557303845882416,0.4145810693670993,0.3772277266676238,0.6819322109222412,9,2,90,174,0.107494688870614,303.55635492425216,302.62925837332745,0.0009839414193651,345,341,313
Pidatapolur,14.348,80.082,28_515_shc_2025-26.7394,163.0,5.3,105.3,0.6,0.0602714270353317,0.0601399987936019,0.0895738080143928,0.0799399986863136,0.1462666690349578,0.287200003862381,0.3323333263397217,0.380866676568985,0.3616999983787536,0.3348875045776367,0.2091833353042602,0.1167000010609626,0.6530432105064392,0.4450486898422241,0.5337636172796258,0.4698031648292482,0.5492298007011414,8,1,0,180,0.107494688870614,303.55635492425216,302.62925837332745,0.0009839414193651,337,356,307
Pynampuram,14.348,80.108,28_515_shc_2025-26.11468,213.0,17.6,224.7,0.65,0.0842124968767166,0.1076499968767166,0.1488499939441681,0.1903000026941299,0.2323749959468841,0.2803333401679992,0.3191833198070526,0.33160001039505,0.3591249883174896,0.364650011062622,0.3845750093460083,0.2864499986171722,0.2707415223121643,0.175938680768013,0.2120316373727971,0.2074077784877017,1.1597557067871094,4,3,314,186,0.107494688870614,303.55635492425216,302.62925837332745,0.0009839414193651,331,344,326
Pynampuram,14.348,80.108,28_515_shc_2025-26.11472,289.0,20.0,119.4,0.98,0.0842124968767166,0.1076499968767166,0.1488499939441681,0.1903000026941299,0.2323749959468841,0.2803333401679992,0.3191833198070526,0.33160001039505,0.3591249883174896,0.364650011062622,0.3845750093460083,0.2864499986171722,0.2707415223121643,0.175938680768013,0.2120316373727971,0.2074077784877017,1.1597557067871094,4,3,314,186,0.107494688870614,303.55635492425216,302.62925837332745,0.0009839414193651,331,344,326
Pidatapolur,14.352,80.082,28_515_shc_2025-26.7399,188.0,10.0,105.3,0.86,0.0708333328366279,0.0810000002384185,0.1054499968886375,0.1045999974012374,0.179649993777275,0.2610250115394592,0.3073333203792572,0.3075999915599823,0.3424000144004822,0.3433083295822143,0.2400750070810318,0.1511500030755996,0.4924793839454651,0.2625962197780609,0.3822399602821252,0.3338083697905661,0.7804779410362244,3,3,161,177,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,347,357,297
Pynampuram,14.352,80.108,28_515_shc_2025-26.7386,151.0,13.5,175.6,0.71,0.0828249976038932,0.1064200028777122,0.146599993109703,0.1914000064134597,0.2336499989032745,0.2801750004291534,0.3172749876976013,0.3332000076770782,0.3587799966335296,0.3577199876308441,0.3858999907970428,0.2838000059127807,0.2703011631965637,0.1756196618080139,0.2105794635920621,0.2075932061002613,1.1581631898880005,6,0,0,180,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,332,341,327
Pynampuram,14.352,80.112,28_515_shc_2025-26.7400,263.0,8.2,105.3,0.94,0.0739761888980865,0.0798199996352195,0.1106666699051857,0.1278333365917205,0.2101999968290329,0.2667500078678131,0.3138000071048736,0.3055333197116852,0.3480333387851715,0.3682399988174438,0.3615500032901764,0.2548500001430511,0.4100453555583954,0.1848500370979309,0.3014145998812407,0.2855790625043504,1.1833406686782837,8,3,314,186,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,331,342,327
Pynampuram,14.352,80.112,28_515_shc_2025-26.10619,314.0,8.2,126.4,0.83,0.0739761888980865,0.0798199996352195,0.1106666699051857,0.1278333365917205,0.2101999968290329,0.2667500078678131,0.3138000071048736,0.3055333197116852,0.3480333387851715,0.3682399988174438,0.3615500032901764,0.2548500001430511,0.4100453555583954,0.1848500370979309,0.3014145998812407,0.2855790625043504,1.1833406686782837,8,3,314,186,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,331,342,327
Ananthapuram,14.358,80.108,28_515_shc_2025-26.9968,163.0,23.8,199.0,0.13,0.075374998152256,0.0920166671276092,0.1315000057220459,0.147049993276596,0.2093142867088318,0.3068333268165588,0.3486500084400177,0.3648833334445953,0.3939250111579895,0.3865000009536743,0.3614000082015991,0.2366999983787536,0.4255111515522003,0.2709329426288605,0.3497514216654179,0.3228967775087669,0.990453600883484,8,5,46,168,0.1092869273403234,303.56803940890126,302.5976914188318,0.0009679273787539,311,366,323
Penubarthi,14.368,80.042,28_515_shc_2024-25.8089,151.0,33.0,105.3,0.27,0.0522000007331371,0.0505499988794326,0.0804499983787536,0.0608000010251998,0.138600006699562,0.2874000072479248,0.3467499911785126,0.3467499911785126,0.3937000036239624,0.3743999898433685,0.1917999982833862,0.1064999997615814,0.7016316652297974,0.4288657307624817,0.5365217346619013,0.4726185762929198,0.5531362891197205,11,1,46,177,0.1735557087680749,303.44059800265126,302.66511706302043,0.0009716185118779,344,330,327
