Village,Latitude,Longitude,Feature_ID,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI,SWIR_Ratio,Elevation_m,Slope_deg,Aspect_deg,Hillshade,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,LST_K,Precipitation_Mean_m,Potential_ET,Actual_ET,Climate_Water_Deficit,Clay_Fraction_g_kg,Silt_Fraction_g_kg,Sand_Fraction_g_kg
Annavaram,14.882,79.848,28_515_shc_2024-25.19351,100.0,164.0,316.4,0.75,0.0516000017523765,0.0636000037193298,0.0945999994874,0.1199999973177909,0.1678999960422516,0.2502999901771545,0.2852500081062317,0.2867999970912933,0.3219999969005584,0.3054499924182892,0.3196499943733215,0.2078499943017959,0.4100295007228851,0.2614910900592804,0.2725846595745462,0.2759153078990657,1.1145397424697876,28,3,314,186,0.283011966281467,303.0567177242703,302.3209507836236,0.0009554048665878,1419.8333333333333,924.6666666666666,495.0,307,342,351
Jaladanki,14.882,79.908,28_515_shc_2024-25.13638,163.0,164.0,122.7,0.52,0.0584999993443489,0.0780000016093254,0.1136000007390976,0.135000005364418,0.1818999946117401,0.2569999992847442,0.2888000011444092,0.2971999943256378,0.3228000104427337,0.300599992275238,0.3323999941349029,0.248099997639656,0.3752892017364502,0.2406595796346664,0.2663907295728418,0.2609954768533831,1.118438720703125,12,5,226,192,0.2240605248345269,303.0202268388536,302.2017342037625,0.0009985908066002,1421.3333333333333,919.4166666666666,501.75,305,331,364
Jaladanki,14.882,79.912,28_515_shc_2024-25.19195,163.0,164.0,155.0,0.16,0.0663999989628791,0.1107999980449676,0.1446000039577484,0.1744000017642974,0.1852999925613403,0.2540000081062317,0.2809999883174896,0.2910000085830688,0.3046000003814697,0.3242000043392181,0.3064999878406524,0.23989999294281,0.2505371868610382,0.221918985247612,0.1935077074483893,0.1811684362477117,1.0532644987106323,19,1,46,177,0.2240605248345269,303.0202268388536,302.2017342037625,0.0009985908066002,1421.3333333333333,919.4166666666666,501.75,303,342,355
Brahmanakraka,14.882706,79.910505,28_515_shc_2024-25.1730,138.0,116.8,148.5,0.3,0.0754999965429306,0.0610000006854534,0.0854000002145767,0.0943000018596649,0.1588000059127807,0.225500002503395,0.2495999932289123,0.255400002002716,0.2797000110149383,0.2825999855995178,0.2863999903202057,0.2162999957799911,0.4606805741786957,0.2332206517457962,0.2953362161685774,0.2843944911335022,1.1213781833648682,21,3,180,180,0.2240605248345269,303.0202268388536,302.2017342037625,0.0009985908066002,1421.3333333333333,919.4166666666666,501.75,302,336,362
Budamagunta,14.884256,79.957311,28_515_shc_2024-25.1484,201.0,164.0,193.0,1.24,0.0467000007629394,0.0699499994516372,0.1088000014424324,0.1327999979257583,0.1793500036001205,0.2512499988079071,0.2809999883174896,0.3019999861717224,0.31700000166893,0.2987500131130218,0.2926999926567077,0.1959500014781952,0.3891444206237793,0.2548041641712188,0.2687121676877363,0.2715019113034985,0.9692053198814392,13,2,90,174,0.1447519938151041,303.0208995819092,302.24942843119305,0.0010499218377364,1429.8333333333333,913.0833333333334,516.6666666666666,314,357,329
Jaladanki,14.886735,79.907462,28_515_shc_2024-25.16624,163.0,99.4,174.3,0.35,0.0739500001072883,0.0788000002503395,0.1044000014662742,0.125,0.1551000028848648,0.225950002670288,0.2523500025272369,0.2433999925851822,0.2707499861717224,0.2689499855041504,0.2782999873161316,0.2085500061511993,0.3213897943496704,0.2215809077024459,0.211066730907205,0.2045140377639424,1.143385410308838,20,0,0,180,0.2240605248345269,303.0202268388536,302.2017342037625,0.0009985908066002,1421.3333333333333,919.4166666666666,501.75,299,338,363
Narrawada,14.888,79.428,28_515_shc_2024-25.12007,125.0,62.0,148.0,0.43,0.0472999997437,0.0595000013709068,0.089599996805191,0.1159000024199485,0.1577000021934509,0.1870999932289123,0.2082500010728836,0.2238000035285949,0.2293500006198883,0.2248499989509582,0.2687000036239624,0.2192499935626983,0.3176332116127014,0.1732634305953979,0.1831358846867129,0.1927474104041958,1.2006255388259888,122,0,0,180,0.2502034929063585,302.88737093607585,302.19219644334584,0.0008416834470481,1414.9166666666667,932.9166666666666,482.0,323,266,412
Budamagunta,14.888,79.948,28_515_shc_2024-25.1260,151.0,164.0,148.0,0.1,0.066500000655651,0.0636000037193298,0.0881500020623207,0.0980499982833862,0.1533000022172927,0.2203000038862228,0.2500999867916107,0.258899986743927,0.2790000140666961,0.2792499959468841,0.2387499958276748,0.1701499968767166,0.4506233334541321,0.2561862766742706,0.2934790441184227,0.2815508336616881,0.9221707582473756,16,3,303,189,0.2240605248345269,303.0202268388536,302.2017342037625,0.0009985908066002,1429.8333333333333,913.0833333333334,516.6666666666666,295,363,341
Thallapalem,14.888,80.018,28_515_shc_2024-25.16156,100.0,74.0,71.0,1.49,0.0515000000596046,0.0579000003635883,0.090999998152256,0.0914999991655349,0.1498000025749206,0.2569000124931335,0.3025999963283539,0.307200014591217,0.3418000042438507,0.3443999886512756,0.2406000047922134,0.1545999944210052,0.5410082936286926,0.3444201350212097,0.3792327690591167,0.3600200491663698,0.783203125,7,2,244,186,0.1447519938151041,303.0208995819092,302.24942843119305,0.0010499218377364,1434.9166666666667,901.3333333333334,533.3333333333334,294,363,343
Narrawada,14.892,79.458,28_515_shc_2024-25.12223,151.0,164.0,129.0,1.11,0.0447000004351139,0.0590000003576278,0.093699999153614,0.1728000044822693,0.2091999948024749,0.239449992775917,0.2582499980926513,0.2594000101089477,0.273250013589859,0.272599995136261,0.3574000000953674,0.3124000132083893,0.2003702074289322,0.1071276441216468,0.1167934455728023,0.139347786319206,1.377794861793518,127,2,153,177,0.215834723578559,302.9486393822564,302.2358433617486,0.0008760792813239,1414.9166666666667,932.9166666666666,482.0,316,273,411
