Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.314856,80.018874,28_515_shc_2025-26.153,Survepalle Bit - V,401.0,10.6,70.2,0.08
14.316188,80.021977,28_515_shc_2025-26.9710,Survepalle Bit - V,100.0,21.7,42.1,0.87
14.318,80.098,28_515_shc_2025-26.326,Mamidipudi,75.0,24.1,105.3,0.35
14.318,80.098,28_515_shc_2025-26.5675,Mamidipudi,75.0,8.2,217.7,0.68
14.322,79.718,28_515_shc_2023-24.5463,Degapudi,276.0,23.8,341.4,0.16
14.322,80.082,28_515_shc_2025-26.2537,Mamidipudi,13.0,9.4,196.6,0.29
14.325,79.955,28_515_shc_2023-24.7533,Survepalle Bit-I,50.0,119.0,74.5,0.14
14.328,80.058,28_515_shc_2025-26.10646,Valluru,13.0,16.4,77.3,0.71
14.328,80.058,28_515_shc_2025-26.10650,Valluru,125.0,15.9,231.8,0.42
14.328,80.078,28_515_shc_2025-26.11408,Mamidipudi,50.0,2.3,280.9,0.48
14.328,80.082,28_515_shc_2025-26.10607,Mamidipudi,226.0,1.2,147.5,0.4
14.332,80.058,28_515_shc_2025-26.10652,Valluru,88.0,4.1,119.4,0.71
14.332,80.058,28_515_shc_2025-26.10638,Valluru,226.0,15.9,161.5,0.65
14.335,80.125,28_515_shc_2025-26.11224,Nelaturu,213.0,23.5,140.5,1.24
14.338,79.872,28_515_shc_2023-24.7538,Kanupuru Bit - I,50.0,26.9,577.3,0.22
14.338,80.098,28_515_shc_2025-26.11271,Pynampuram,477.0,14.1,91.3,0.55
14.342,79.472,28_515_shc_2025-26.4982,Gonupalle,75.0,0.8,620.7,0.2
14.342,80.062,28_515_shc_2025-26.10675,Brahmadevam,63.0,3.5,98.3,0.73
14.348,80.068,28_515_shc_2025-26.10687,Brahmadevam,188.0,8.2,28.1,0.65
14.348,80.082,28_515_shc_2025-26.7394,Pidatapolur,163.0,5.3,105.3,0.6
14.348,80.108,28_515_shc_2025-26.11468,Pynampuram,213.0,17.6,224.7,0.65
14.348,80.108,28_515_shc_2025-26.11472,Pynampuram,289.0,20.0,119.4,0.98
14.352,80.082,28_515_shc_2025-26.7399,Pidatapolur,188.0,10.0,105.3,0.86
14.352,80.108,28_515_shc_2025-26.7386,Pynampuram,151.0,13.5,175.6,0.71
14.352,80.112,28_515_shc_2025-26.7400,Pynampuram,263.0,8.2,105.3,0.94
14.352,80.112,28_515_shc_2025-26.10619,Pynampuram,314.0,8.2,126.4,0.83
14.358,80.108,28_515_shc_2025-26.9968,Ananthapuram,163.0,23.8,199.0,0.13
