Point_ID,Latitude,Longitude,N,P,K,OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDRE,EVI,SAVI
Point_46,15.138692,79.981935,226.0,12.3,49.2,0.38,609.0,783.0,1190.0,1462.5,1932.5,2991.5,3284.0,3367.5,3680.5,3662.0,2484.5,1509.0,0.3944099378881988,0.27075471698113207,0.7594482538670068,0.5915536693924025
Point_47,15.13844,79.982098,226.0,12.3,49.2,0.38,609.0,817.0,1214.0,1394.0,1864.5,2788.5,3430.5,3526.0,3771.5,3662.0,2547.0,1828.0,0.43333333333333335,0.3082274371579631,0.92478528671814,0.6499339498018494
Point_48,15.138335,79.981962,226.0,12.3,49.2,0.38,609.0,773.0,1140.0,1294.0,1864.5,2788.5,3430.5,3536.5,3771.5,3662.0,2547.0,1828.0,0.4642376565572922,0.3095723014256619,1.018577398255814,0.6962844131649761
Point_49,15.138262,79.981745,226.0,12.3,49.2,0.38,507.5,849.5,1258.0,1541.0,2000.5,2912.0,3404.0,3670.0,3751.0,3327.5,3074.0,1912.0,0.40855881788524273,0.2944184816153778,0.8131230187526257,0.6127794301064953
Point_50,15.138592,79.981631,226.0,12.3,49.2,0.38,649.0,716.0,1172.0,1392.0,1921.0,2985.0,3323.5,3380.0,3684.5,3741.5,2742.0,1811.0,0.4165968147527242,0.27523108847387284,0.781078107810781,0.6248297537977998
Point_51,15.138466,79.981652,226.0,12.3,49.2,0.38,649.0,799.0,1215.0,1440.0,2074.5,3040.5,3501.5,3530.0,3858.5,3741.5,2933.0,1855.5,0.42052313883299797,0.2597020251583549,0.8456745164683985,0.6307212554069007
Point_52,15.131673,79.970685,50.0,5.9,28.1,0.17,472.5,667.5,1047.5,1183.0,1658.0,2378.5,2777.0,2938.0,3089.5,2712.0,2871.0,1911.5,0.42586750788643535,0.278503046127067,0.8721363613775281,0.6387237656193133
Point_53,15.132273,79.968947,138.0,59.3,49.2,0.18,460.0,615.5,937.0,1202.0,1643.0,2125.5,2310.0,2301.0,2365.5,1529.5,2724.5,1898.5,0.3137310876391664,0.16683569979716023,0.560971874840488,0.4705294705294705
Point_54,15.133465,79.965561,163.0,11.2,42.1,0.42,460.0,595.0,820.0,727.5,1332.5,2536.5,3043.0,3166.0,3433.5,3417.5,1957.5,1074.0,0.6263002439964043,0.4075803045459598,1.9860726502687733,0.9393297380585517
Point_55,15.133336,79.965691,163.0,11.2,42.1,0.42,508.0,608.5,902.5,907.5,1604.5,2353.0,2673.5,2783.0,2910.0,2201.0,2666.5,1708.5,0.5081967213114754,0.2686039886039886,1.2792442534615647,0.7621918179355189
Point_56,15.133865,79.963692,351.0,37.59,35.1,0.11,471.5,498.5,782.0,740.0,1299.5,2299.0,2640.5,2931.0,2825.5,2253.0,2164.5,1305.0,0.5968400980659221,0.3856518142063586,1.5076033853987478,0.8951382268827455
Point_57,15.133817,79.963469,351.0,37.59,35.1,0.11,471.5,485.0,703.5,682.0,1259.0,2127.5,2428.0,2260.5,2608.0,2253.0,2112.5,1297.5,0.5364485981308411,0.2845574655490837,1.4529639175257734,0.8045361875637105
Point_58,15.134074,79.963295,351.0,37.59,35.1,0.11,459.0,573.5,872.5,809.0,1355.5,2411.5,2833.0,2899.0,3001.5,3294.0,1916.0,1067.0,0.5636461704422869,0.3627923375249736,1.5132865107522988,0.8453552649319132
Point_59,15.133833,79.963482,351.0,37.59,35.1,0.11,471.5,385.5,641.0,559.0,1259.0,2127.5,2428.0,2255.0,2608.0,2253.0,2112.5,1297.5,0.6027007818052594,0.28343767785998863,1.5595402298850574,0.9038905667081187
Point_60,15.13494,79.960072,88.0,76.9,35.1,0.26,644.0,833.0,1194.5,1680.0,2132.0,2475.0,2599.5,2384.5,2672.0,2691.0,3182.5,2693.5,0.17333005289703532,0.055906121997121666,0.2832502412351239,0.25996309963099634
Point_61,15.135242,79.959189,88.0,76.9,35.1,0.26,792.0,763.5,986.0,1179.0,1786.5,2042.0,2277.5,2046.0,2506.5,2540.5,3280.0,2876.5,0.2688372093023256,0.06771037181996085,0.6384858973414832,0.40319330336381953
Point_62,15.136468,79.959312,276.0,40.53,56.2,0.27,554.5,637.5,950.0,1052.0,1458.0,2662.5,3046.5,3142.0,3353.0,2975.0,2762.0,1760.5,0.4983309489747258,0.3660869565217391,1.1179459748595881,0.7474073191083561
