Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.528,79.768,28_515_shc_2023-24.5151,Mahammadapuram,151.0,9.0,91.0,0.52
14.528,79.772,28_515_shc_2023-24.6444,Mahammadapuram,113.0,23.0,104.0,0.22
14.522,79.868,28_515_shc_2023-24.7275,Annareddipalem,88.0,75.0,630.0,0.26
14.522,79.888,28_515_shc_2023-24.5894,Chellayapalem,50.0,38.0,149.0,0.08
14.522,79.898,28_515_shc_2023-24.6962,Penuballe,50.0,13.0,52.0,0.31
14.525,79.915,28_515_shc_2025-26.4941,Rebala,163.0,107.0,143.0,0.6
14.525,80.015,28_515_shc_2023-24.6089,Kovur,125.0,102.0,260.0,0.18
14.528,80.018,28_515_shc_2023-24.7232,Cherlopalem,152.0,19.0,130.0,0.66
14.528,80.018,28_515_shc_2023-24.7233,Cherlopalem,226.0,17.0,189.0,0.41
14.528,80.018,28_515_shc_2023-24.7437,Cherlopalem,188.0,23.0,202.0,0.58
14.528,80.018,28_515_shc_2023-24.7439,Cherlopalem,238.0,12.0,163.0,0.5
14.528,80.018,28_515_shc_2023-24.7440,Cherlopalem,201.0,26.0,33.0,0.12
14.522,80.028,28_515_shc_2024-25.7321,Leguntapadu,125.0,25.0,111.0,1.5
14.522,80.152,28_515_shc_2025-26.5841,Gangapatnam,88.0,52.0,162.0,0.7
14.535,79.365,28_515_shc_2023-24.6907,Varekuntapadu,201.0,2.0,280.0,0.62
14.535,79.365,28_515_shc_2023-24.7032,Varekuntapadu,100.0,8.0,575.0,0.64
14.532,79.552,28_515_shc_2023-24.5260,Chejerla,38.0,3.0,358.0,0.67
14.532,79.562,28_515_shc_2023-24.6952,Chejerla,100.0,1.0,163.0,0.94
14.538,79.768,28_515_shc_2023-24.5049,Nedurupalle,226.0,62.0,254.0,0.33
14.532,79.868,28_515_shc_2023-24.4857,Vavveru,188.0,19.0,46.0,0.58
14.532,79.888,28_515_shc_2023-24.5673,Isakapalem,88.0,100.0,85.0,0.5
14.538,79.888,28_515_shc_2023-24.5500,Isakapalem,113.0,52.0,286.0,1.03
14.545,79.455,28_515_shc_2023-24.6764,Telugurayapuram,88.0,1.0,137.0,0.31
14.545,79.585,28_515_shc_2025-26.4908,Thimmayapalem,238.0,82.0,143.0,0.48
14.542,79.612,28_515_shc_2023-24.5139,Perumallapadu,50.0,1.0,156.0,0.63
14.548,79.832,28_515_shc_2023-24.7187,Annareddipalem,201.0,109.0,383.0,0.31
14.545,79.885,28_515_shc_2023-24.5008,Vavveru,213.0,11.0,117.0,0.4
14.545,79.885,28_515_shc_2023-24.5966,Vavveru,188.0,11.0,117.0,0.48
14.545,79.885,28_515_shc_2023-24.6107,Vavveru,151.0,66.0,59.0,0.71
14.548,79.922,28_515_shc_2023-24.6390,Nagamambapuram,100.0,23.0,39.0,0.6
14.542,80.062,28_515_shc_2023-24.5393,Kovur,213.0,58.0,221.0,0.58
14.542,80.062,28_515_shc_2023-24.6815,Kovur,263.0,97.0,215.0,0.33
14.558,79.752,28_515_shc_2023-24.4830,Nallapalem,389.0,11.0,104.0,0.42
14.558,79.992,28_515_shc_2024-25.5903,Naidupalem,113.0,40.0,338.0,0.36
14.558,80.092,28_515_shc_2023-24.6765,Mudivarthi,125.0,20.0,195.0,0.42
14.562,79.748,28_515_shc_2023-24.6124,Nallapalem,339.0,13.0,130.0,0.52
14.562,79.822,28_515_shc_2023-24.5707,Duvvuru,176.0,11.0,494.0,0.26
14.562,79.972,28_515_shc_2023-24.6330,Gandavaram,201.0,24.0,78.0,0.28
14.568,80.002,28_515_shc_2023-24.5741,Kodavalur,176.0,15.0,124.0,0.35
14.575,79.415,28_515_shc_2023-24.6066,Ananthasagaram,113.0,22.0,104.0,0.54
14.578,79.482,28_515_shc_2023-24.6108,Devarayapalle Bit-II,63.0,16.0,358.0,0.28
14.578,79.822,28_515_shc_2023-24.7271,Vangallu,138.0,12.0,156.0,0.48
14.578,79.932,28_515_shc_2023-24.5738,Kothavangallu,100.0,3.0,240.0,0.79
14.578,79.932,28_515_shc_2023-24.5838,Kothavangallu,151.0,9.0,214.0,0.51
14.578,79.932,28_515_shc_2023-24.5839,Kothavangallu,188.0,1.0,123.0,0.48
14.578,79.932,28_515_shc_2023-24.5842,Kothavangallu,138.0,2.0,58.0,0.77
14.578,79.992,28_515_shc_2023-24.6838,Naidupalem,176.0,60.0,143.0,0.6
14.572,80.002,28_515_shc_2023-24.4891,Kodavalur,201.0,27.0,241.0,0.4
14.572,80.002,28_515_shc_2024-25.7171,Naidupalem,100.0,16.0,137.0,0.41
14.572,80.002,28_515_shc_2024-25.7173,Naidupalem,100.0,7.0,59.0,0.76
14.572,80.072,28_515_shc_2023-24.6345,Vidavalur,125.0,10.0,637.0,1.0
14.578,80.142,28_515_shc_2023-24.5611,Alaganipadu,50.0,99.0,149.0,0.68
14.578,80.142,28_515_shc_2023-24.5618,Utukuru,188.0,89.0,494.0,1.31
14.578,80.142,28_515_shc_2023-24.6028,Alaganipadu,113.0,26.0,143.0,0.92
14.578,80.142,28_515_shc_2023-24.6730,Utukuru,163.0,11.0,163.0,1.0
14.578,80.142,28_515_shc_2023-24.6767,Utukuru,113.0,15.0,280.0,0.41
14.588,79.482,28_515_shc_2023-24.6672,Minagallu,38.0,36.0,371.0,0.6
14.582,79.482,28_515_shc_2023-24.4880,Devarayapalle Bit- I,188.0,20.0,323.0,0.42
14.582,79.758,28_515_shc_2023-24.5826,Sangam,75.0,22.0,260.0,0.1
14.588,79.762,28_515_shc_2023-24.5828,Sangam,50.0,109.0,123.0,0.51
14.588,79.998,28_515_shc_2023-24.5072,Naidupalem,226.0,45.0,195.0,0.88
14.592,79.748,28_515_shc_2023-24.7257,Sangam,151.0,12.0,221.0,0.32
14.598,79.778,28_515_shc_2023-24.5080,Tharunavaya,163.0,12.0,169.0,0.35
14.598,80.012,28_515_shc_2023-24.5178,Gundalammapalem,138.0,34.0,169.0,0.58
14.598,80.102,28_515_shc_2023-24.5230,Alaganipadu,125.0,61.0,260.0,0.21
14.595,80.115,28_515_shc_2023-24.5322,Utukuru,176.0,11.0,202.0,0.51
14.605,79.395,28_515_shc_2023-24.5383,Ananthasagaram,125.0,114.0,72.0,0.12
14.602,79.578,28_515_shc_2023-24.5779,Bandarupalle,176.0,25.0,143.0,0.48
14.605,79.995,28_515_shc_2023-24.6140,Talamanchi,125.0,17.0,195.0,0.48
14.605,79.995,28_515_shc_2023-24.7072,Talamanchi,138.0,20.0,111.0,0.71
14.605,79.995,28_515_shc_2023-24.7230,Talamanchi,176.0,22.0,163.0,0.41
14.602,80.048,28_515_shc_2023-24.5598,Venkannapuram,50.0,7.0,32.0,0.22
14.602,80.068,28_515_shc_2023-24.5938,Chowkacherla,138.0,14.0,215.0,0.48
14.618,79.822,28_515_shc_2023-24.5930,Vangallu,88.0,9.0,85.0,0.33
14.612,80.032,28_515_shc_2023-24.5715,Damegunta,188.0,70.0,189.0,0.28
14.618,80.072,28_515_shc_2023-24.5635,Dampuru,88.0,30.0,26.0,1.09
14.625,79.635,28_515_shc_2023-24.6742,Atmakur,38.0,3.0,78.0,1.0
14.625,79.635,28_515_shc_2023-24.7362,Atmakur,138.0,16.0,91.0,0.18
14.622,79.712,28_515_shc_2023-24.6818,Peramana,188.0,37.0,117.0,1.02
14.622,79.722,28_515_shc_2023-24.5190,Peramana,151.0,15.0,52.0,0.33
14.628,80.048,28_515_shc_2023-24.5062,North Amuluru,176.0,88.0,91.0,0.51
14.628,80.048,28_515_shc_2023-24.6704,North Amuluru,138.0,80.0,137.0,0.61
14.632,79.492,28_515_shc_2023-24.5616,Mahimalur,100.0,25.0,104.0,0.98
14.632,79.528,28_515_shc_2023-24.6744,Mahimalur,113.0,53.0,279.0,0.82
14.638,79.572,28_515_shc_2023-24.5330,Nagulapadu,63.0,1.0,176.0,0.28
14.638,79.572,28_515_shc_2023-24.5648,Nagulapadu,113.0,34.0,189.0,0.42
14.632,79.832,28_515_shc_2023-24.4888,Marripadu,125.0,16.0,117.0,0.58
14.632,80.118,28_515_shc_2023-24.5215,Varini,113.0,16.0,527.0,0.62
14.645,79.515,28_515_shc_2024-25.7790,Mahimalur,75.0,12.0,65.0,0.49
14.642,79.818,28_515_shc_2024-25.6429,Marripadu,125.0,21.0,117.0,0.29
14.648,79.892,28_515_shc_2023-24.5833,Dagadarthi,113.0,2.0,78.0,0.3
14.648,79.902,28_515_shc_2024-25.6469,Thurimerla,63.0,25.0,189.0,1.01
14.658,79.792,28_515_shc_2023-24.4860,Srikolanu,188.0,23.0,163.0,0.83
14.658,80.072,28_515_shc_2023-24.6658,Indupuru,25.0,70.0,378.0,0.22
14.662,80.022,28_515_shc_2023-24.5186,North Mopuru,364.0,4.0,39.0,0.61
14.678,79.558,28_515_shc_2023-24.6193,Chiruvella Khandrika,201.0,16.0,202.0,0.54
14.678,79.752,28_515_shc_2023-24.5194,Neelayapalem,125.0,34.0,111.0,0.48
14.672,79.892,28_515_shc_2023-24.7229,Chennuru,163.0,1.0,117.0,0.45
14.672,80.022,28_515_shc_2023-24.4905,Graddagunta,163.0,27.0,59.0,0.5
14.672,80.022,28_515_shc_2023-24.6711,Batrakagollu,201.0,11.0,72.0,0.5
14.678,80.102,28_515_shc_2023-24.4933,Gogulapalle,125.0,110.0,104.0,0.31
14.685,79.445,28_515_shc_2023-24.5057,Nandavaram,63.0,23.0,39.0,0.28
14.682,79.508,28_515_shc_2023-24.5848,Dharmarao Cheruvupalle,163.0,36.0,234.0,0.58
14.685,79.515,28_515_shc_2023-24.6415,Dharmarao Cheruvupalle,226.0,9.0,247.0,0.12
14.682,79.552,28_515_shc_2023-24.6351,Karatampadu,113.0,11.0,130.0,0.28
14.682,79.668,28_515_shc_2023-24.5382,Anumasamudrampeta,113.0,50.0,111.0,0.28
14.688,79.702,28_515_shc_2023-24.5272,Chandulurupadu,188.0,6.0,72.0,0.61
14.682,79.732,28_515_shc_2023-24.7065,Chiramana,226.0,20.0,98.0,0.77
14.682,79.978,28_515_shc_2024-25.6735,Kothapalle Kowrugunta,75.0,22.0,130.0,0.42
14.688,80.052,28_515_shc_2023-24.7400,Allurupeta,100.0,56.0,149.0,0.78
14.688,80.052,28_515_shc_2023-24.7411,Allurupeta,113.0,31.0,383.0,0.67
14.682,80.082,28_515_shc_2023-24.4958,Allur,151.0,26.0,78.0,0.4
14.685,80.095,28_515_shc_2023-24.7490,Gogulapalle,51.0,64.0,111.0,0.48
14.695,79.605,28_515_shc_2023-24.6272,Nabbinagaram,88.0,8.0,221.0,0.4
14.698,79.722,28_515_shc_2025-26.4983,Chiramana,88.0,52.0,228.0,0.78
14.692,79.988,28_515_shc_2023-24.5743,Kothapalle Kowrugunta,176.0,21.0,72.0,0.46
14.692,79.988,28_515_shc_2023-24.5924,Damavaram,113.0,6.0,46.0,0.06
14.698,80.022,28_515_shc_2024-25.6734,Singapeta,176.0,16.0,221.0,0.22
14.705,79.505,28_515_shc_2023-24.6725,Padakandla,100.0,109.0,650.0,0.82
14.702,79.872,28_515_shc_2023-24.4962,Lingalapadu,63.0,108.0,149.0,0.78
14.702,79.872,28_515_shc_2023-24.6255,Katrayapadu,151.0,27.0,91.0,0.13
14.702,80.028,28_515_shc_2024-25.6762,Singapeta,75.0,23.0,156.0,0.82
14.718,79.452,28_515_shc_2023-24.6274,Padakandla,63.0,3.0,247.0,0.4
14.712,79.678,28_515_shc_2023-24.6990,Anumasamudrampeta,188.0,29.0,137.0,0.58
14.718,79.722,28_515_shc_2023-24.6999,Zammavaram,151.0,21.0,150.0,0.57
14.718,79.722,28_515_shc_2023-24.7018,Srikolanu,138.0,66.0,202.0,0.62
14.715,79.985,28_515_shc_2023-24.6134,Ananthavaram,176.0,27.0,59.0,0.38
14.712,79.988,28_515_shc_2023-24.4959,Ulavapalle,163.0,21.0,52.0,0.63
14.722,79.488,28_515_shc_2023-24.7133,Padakandla,113.0,14.0,78.0,0.68
14.728,79.612,28_515_shc_2023-24.5377,Rajavolu,138.0,22.0,455.0,0.67
14.728,79.612,28_515_shc_2023-24.7000,Rajavolu,100.0,22.0,59.0,0.81
14.732,79.662,28_515_shc_2023-24.6991,Pedabbipuram,176.0,6.0,137.0,0.33
14.738,79.938,28_515_shc_2023-24.6639,Bitragunta,38.0,14.0,169.0,1.2
14.735,80.005,28_515_shc_2023-24.6073,Ulavapalle,339.0,45.0,65.0,0.75
14.742,79.602,28_515_shc_2023-24.5324,Vinjamur,125.0,19.0,117.0,0.51
14.742,79.862,28_515_shc_2023-24.7206,Bodagudipadu,201.0,10.0,85.0,0.78
14.758,79.752,28_515_shc_2023-24.7655,Kavali Musthapuram,176.0,25.0,397.0,0.1
