system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,K,N,OC,P,sample_id,.geo
647,687.1111111111111,3187.8,2380.3333333333335,715.5,973.8571428571429,1112.0,1745.3333333333333,2511.6666666666665,2836.0,2634.75,3176.8,3097.2727272727275,235.9,50,0.23,112.9,648,"{""type"":""Point"",""coordinates"":[79.783996,14.193191]}"
648,810.7142857142857,3671.0,3191.0,1428.6666666666667,1586.2,1812.5,2258.0,2583.0,2824.4,2832.0,3061.75,3051.3333333333335,235.9,50,0.23,112.9,649,"{""type"":""Point"",""coordinates"":[79.785031,14.192624]}"
649,844.8571428571429,3718.0,3146.6666666666665,1238.6666666666667,1603.4,2007.0,2377.5,2748.5,2934.3333333333335,3066.6666666666665,3222.6666666666665,3215.0,248.3,151,0.52,82.2,650,"{""type"":""Point"",""coordinates"":[79.785445,14.192380000000002]}"
650,526.25,2569.5,1748.5,761.0,1029.0,1162.0,1594.25,2628.5,3005.0,3020.0,3276.0,2839.75,515.2,50,0.35,82.02,651,"{""type"":""Point"",""coordinates"":[79.789541,14.194482]}"
651,526.25,2569.5,1748.5,650.0,923.3333333333334,935.75,1594.25,2628.5,3005.0,3099.0,3276.0,2839.75,515.2,50,0.35,82.02,652,"{""type"":""Point"",""coordinates"":[79.789667,14.194392000000004]}"
652,526.25,1945.0,1246.0,602.5,853.3333333333334,775.0,1418.0,2345.5,2785.0,3065.6666666666665,3106.0,2839.75,515.2,50,0.35,82.02,653,"{""type"":""Point"",""coordinates"":[79.789604,14.194305]}"
653,502.0,2003.0,1249.0,616.0,899.6666666666666,890.6666666666666,1544.6666666666667,2518.0,2786.5,2811.0,3110.5,2990.3333333333335,515.2,50,0.35,82.02,654,"{""type"":""Point"",""coordinates"":[79.789964,14.194348]}"
654,599.0,2500.0,1723.0,692.6,983.6,985.0,1573.5,2612.0,3037.0,2904.0,3257.1666666666665,3295.0,515.2,50,0.35,82.02,655,"{""type"":""Point"",""coordinates"":[79.789408,14.19394]}"
655,599.0,2500.0,1723.0,620.4166666666666,938.4,918.3333333333334,1573.5,2612.0,3037.0,3044.0,3257.1666666666665,3295.0,515.2,50,0.35,82.02,656,"{""type"":""Point"",""coordinates"":[79.789362,14.193898000000003]}"
656,599.0,3147.5,2216.5,652.5555555555555,983.75,1026.0,1816.0,2640.0,3032.3333333333335,2964.0,3334.5,3295.0,515.2,50,0.35,82.02,657,"{""type"":""Point"",""coordinates"":[79.789501,14.193735999999998]}"
