PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15
-2.5887936841689934,-2.507744758886096,-4.791868360564201,-1.5891002577904751,0.1778576995108107,-0.2107877840893132,-0.024934681962422565,-0.019086788464273988,1.2758252624391597,0.6767498716458049,0.9393305761959659,0.7585958906782235,-0.25701247146144807,0.25435317472593183,-0.3590104309500191
-4.3537644352011435,-1.4038962506124653,-2.7707446328180896,-2.087725783195027,-0.4416608342512975,1.114336754639145,0.7977556240798913,-1.716617489341211,0.5561841838746042,0.02727336087887725,1.8379884450921673,0.5529131601895279,-0.3626600637637111,0.29617170702249723,-0.5233601695243352
-3.013514973736302,-3.0318267623673774,-4.731230992424863,-1.6104689628993272,0.18540147198419105,-0.19514833974018703,-0.03715358741964494,0.04679682740071393,1.3275585930143716,0.9317200036042971,0.6171485866834429,0.9269404543581817,-0.29045610357335067,-0.006070188083307495,-0.18786779917276958
3.156824749118426,3.647025344389122,-4.018337708788522,-2.0822956011717704,0.25237444901198,-0.3129644242870319,0.14266846480283019,1.283011923712614,-1.0312235104008802,0.1785785845976205,0.3298263447325136,0.5741600338938334,0.5771846002439911,0.010677650371035427,-0.3598177527954286
3.0555067653354735,2.164227180831755,-5.032366806892911,-0.5202513646206138,-0.8110453156035091,0.5672373278943093,1.6590451713047873,1.641710684370485,1.0858351835746265,1.160939974593469,0.39059841846339044,1.2281782441264182,-0.35311714775034214,-0.7333184331553269,0.3731555071946777
-2.9924303048621326,0.30907228285952976,-2.021845556330686,-2.52899855565019,-0.334661566286942,-1.4416817288461485,0.9581008799771167,0.07497135815627673,-0.6963913710647484,0.5917655084547985,0.7276629525174915,1.0779256513958653,-0.559081530219418,0.23610275018213758,-0.06277944366631201
-4.2189856576338425,0.2916547635346916,-1.243055305257423,-2.5564116157371535,0.15246630602183134,1.8251047848938238,-0.26885755984258514,2.6218849718973094,2.3968722564769527,-1.1262368737224786,0.9600133752628345,0.37706363509878155,-0.009960169154569638,-0.3930401119353335,-0.09687573540270962
-5.64707775234306,0.19807021195131408,-0.3293997107600542,-2.836809673503876,-0.4056272719841562,-0.5575303315488795,0.7157219015859094,-1.2850125987234293,0.23841312311123167,-0.34735049004458324,1.510205410525479,0.397202178887101,0.06526054885627183,-0.39853941246547914,-0.09978392584988413
-4.175782833470022,-0.11371397973103115,-1.5620067048160868,-1.798543892127922,-0.34703609260645096,0.004600092318914783,1.2107800401252888,0.04512398529096944,-2.0326792612761797,0.061791227251929225,1.1651756159220459,0.6168091274653577,0.41402887517353315,0.21546888866422464,-0.26902599947110334
-5.519215685847927,0.22168763752488613,-0.2527993391365219,-2.037191713189895,-1.2324790925967772,1.1430615635512846,2.0752745735586338,0.9837910371692028,-0.5663968649946713,-0.2533958423606292,1.272660670922719,0.20037195712321113,0.16989056814686343,-0.3108963076175267,-0.3995595355483796
