N,P,K,OC
176.0,3.5,305.0,0.32
25.0,44.6,168.6,0.47
163.0,9.4,126.4,0.8
113.0,85.8,119.4,0.8
38.0,2.9,119.4,0.65
38.0,2.9,119.4,0.65
50.0,6.5,77.3,0.87
100.0,18.8,168.6,0.95
125.0,8.8,273.9,0.71
176.0,105.7,168.6,0.47
138.0,0.6,49.2,0.65
13.0,21.1,154.5,0.28
88.0,20.0,49.2,0.58
63.0,55.8,575.9,0.56
138.0,63.4,407.3,0.66
138.0,63.4,407.3,0.66
163.0,13.5,105.3,0.11
25.0,67.0,84.3,0.53
63.0,55.8,575.9,0.56
25.0,67.0,84.3,0.53
213.0,11.7,280.9,0.34
25.0,19.4,126.4,0.75
63.0,11.5,111.7,0.41
63.0,11.5,111.7,0.41
201.0,9.2,68.3,0.38
201.0,9.2,68.3,0.38
201.0,9.2,68.3,0.38
201.0,9.2,68.3,0.38
201.0,9.2,68.3,0.38
201.0,9.2,68.3,0.38
201.0,9.2,68.3,0.38
63.0,13.8,86.9,0.2
201.0,9.2,68.3,0.38
63.0,11.5,111.7,0.41
125.0,30.0,105.5,0.25
125.0,30.0,105.5,0.25
125.0,30.0,105.5,0.25
151.0,3.8,117.9,0.2
151.0,3.8,117.9,0.2
125.0,30.0,105.5,0.25
125.0,30.0,105.5,0.25
201.0,9.2,68.3,0.38
113.0,5.9,35.1,0.97
50.0,18.2,21.1,0.39
213.0,45.2,42.1,0.34
163.0,24.7,21.1,0.89
238.0,31.13,63.2,0.89
214.0,13.5,42.1,0.47
88.0,11.2,42.1,0.27
238.0,31.13,63.2,0.89
401.0,11.2,56.2,0.43
88.0,10.0,35.1,0.52
339.0,7.0,38.1,0.98
151.0,34.07,49.2,0.34
188.0,4.1,35.1,0.43
213.0,15.9,35.1,0.3
163.0,20.0,35.1,0.26
138.0,11.2,49.2,0.41
113.0,45.2,49.2,0.36
301.0,15.9,49.2,0.46
63.0,13.1,49.7,0.3
50.0,9.2,86.9,0.38
100.0,6.9,434.0,0.15
100.0,60.5,89.6,0.94
276.0,1.8,28.1,0.14
276.0,1.8,28.1,0.14
276.0,1.8,28.1,0.14
276.0,1.8,28.1,0.14
276.0,1.8,28.1,0.14
238.0,57.6,117.9,0.03
213.0,16.1,173.8,0.19
213.0,16.1,173.8,0.19
213.0,16.1,173.8,0.19
213.0,16.1,173.8,0.19
226.0,4.6,621.0,0.1
188.0,15.4,341.4,0.23
188.0,15.4,341.4,0.23
