Aspect_deg,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Clay_Fraction_g_kg,EVI,Elevation_m,Feature_ID,Hillshade,K,LST_K,Latitude,Longitude,N,NDRE,NDVI,OC,P,Precipitation_Mean_m,SAVI,SWIR_Ratio,Sand_Fraction_g_kg,Silt_Fraction_g_kg,Slope_deg,Soil_Moisture_0_7cm,Soil_Temp_0_7cm_K,Village
207,0.06340000033378601,0.35089999437332153,0.3059000074863434,0.13899999856948853,0.16500000655651093,0.19480000436306,0.20890000462532043,0.24210000038146973,0.27140000462532043,0.2809999883174896,0.29010000824928284,0.2865000069141388,342,0.15313007604875722,68,28_515_shc_2025-26.572,183,378.6,302.9800456197638,14.171091,79.555352,13.0,0.14717286825180054,0.18116852641105652,0.39,21.5,0.0007555945000877731,0.1325066375297399,1.2487545013427734,408,250,2,0.19181154485334428,303.7188754834627,Siddavaram
207,0.06340000033378601,0.35089999437332153,0.3059000074863434,0.13899999856948853,0.16500000655651093,0.19480000436306,0.20890000462532043,0.24210000038146973,0.27140000462532043,0.2809999883174896,0.29010000824928284,0.2865000069141388,342,0.15313007604875722,68,28_515_shc_2025-26.574,183,117.9,302.9800456197638,14.171091,79.555352,13.0,0.14717286825180054,0.18116852641105652,0.33,15.4,0.0007555945000877731,0.1325066375297399,1.2487545013427734,408,250,2,0.19181154485334428,303.7188754834627,Kambhalapalle
207,0.06340000033378601,0.35089999437332153,0.3059000074863434,0.13899999856948853,0.16500000655651093,0.19480000436306,0.20890000462532043,0.24210000038146973,0.27140000462532043,0.2809999883174896,0.29010000824928284,0.2865000069141388,342,0.15313007604875722,68,28_515_shc_2025-26.9208,183,341.4,302.9800456197638,14.171091,79.555352,201.0,0.14717286825180054,0.18116852641105652,0.21,6.1,0.0007555945000877731,0.1325066375297399,1.2487545013427734,408,250,2,0.19181154485334428,303.7188754834627,Siddavaram
207,0.06340000033378601,0.35089999437332153,0.3059000074863434,0.13899999856948853,0.16500000655651093,0.19480000436306,0.20890000462532043,0.24210000038146973,0.27140000462532043,0.2809999883174896,0.29010000824928284,0.2865000069141388,342,0.15313007604875722,68,28_515_shc_2025-26.11677,183,322.8,302.9800456197638,14.171091,79.555352,201.0,0.14717286825180054,0.18116852641105652,0.21,10.8,0.0007555945000877731,0.1325066375297399,1.2487545013427734,408,250,2,0.19181154485334428,303.7188754834627,Siddavaram
207,0.06340000033378601,0.35089999437332153,0.3059000074863434,0.13899999856948853,0.16500000655651093,0.19480000436306,0.20890000462532043,0.24210000038146973,0.27140000462532043,0.2809999883174896,0.29010000824928284,0.2865000069141388,342,0.15313007604875722,68,28_515_shc_2025-26.11684,183,68.3,302.9800456197638,14.171091,79.555352,38.0,0.14717286825180054,0.18116852641105652,0.21,15.4,0.0007555945000877731,0.1325066375297399,1.2487545013427734,408,250,2,0.19181154485334428,303.7188754834627,Kambhalapalle
207,0.06340000033378601,0.35089999437332153,0.3059000074863434,0.13899999856948853,0.16500000655651093,0.19480000436306,0.20890000462532043,0.24210000038146973,0.27140000462532043,0.2809999883174896,0.29010000824928284,0.2865000069141388,342,0.15313007604875722,68,28_515_shc_2025-26.11687,183,316.6,302.9800456197638,14.171091,79.555352,13.0,0.14717286825180054,0.18116852641105652,0.31,12.3,0.0007555945000877731,0.1325066375297399,1.2487545013427734,408,250,2,0.19181154485334428,303.7188754834627,Bandepalle
207,0.06340000033378601,0.35089999437332153,0.3059000074863434,0.13899999856948853,0.16500000655651093,0.19480000436306,0.20890000462532043,0.24210000038146973,0.27140000462532043,0.2809999883174896,0.29010000824928284,0.2865000069141388,342,0.15313007604875722,68,28_515_shc_2025-26.9214,183,366.2,302.9800456197638,14.171091,79.555352,50.0,0.14717286825180054,0.18116852641105652,0.31,13.1,0.0007555945000877731,0.1325066375297399,1.2487545013427734,408,250,2,0.19181154485334428,303.7188754834627,Siddavaram
207,0.06340000033378601,0.35089999437332153,0.3059000074863434,0.13899999856948853,0.16500000655651093,0.19480000436306,0.20890000462532043,0.24210000038146973,0.27140000462532043,0.2809999883174896,0.29010000824928284,0.2865000069141388,342,0.15313007604875722,68,28_515_shc_2025-26.9226,183,384.9,302.9800456197638,14.171091,79.555352,63.0,0.14717286825180054,0.18116852641105652,0.31,69.9,0.0007555945000877731,0.1325066375297399,1.2487545013427734,408,250,2,0.19181154485334428,303.7188754834627,Siddavaram
134,0.07360000163316727,0.290800005197525,0.1889999955892563,0.08299999684095383,0.11800000071525574,0.1395999938249588,0.18639999628067017,0.30660000443458557,0.35420000553131104,0.3684000074863434,0.39480000734329224,0.3849000036716461,330,0.3612251571040323,8,28_515_shc_2024-25.4984,177,484.0,302.86739827875505,14.172,79.918,50.0,0.32804617285728455,0.4503937363624573,0.32,3.1,0.000928226317716615,0.34047621036270803,0.7893593907356262,340,330,1,0.2627870660079153,303.65991338094074,Baddevolu
134,0.09510000050067902,0.3508000075817108,0.3239000141620636,0.13179999589920044,0.15809999406337738,0.1915999948978424,0.21580000221729279,0.23319999873638153,0.2538999915122986,0.2667999863624573,0.26989999413490295,0.273499995470047,336,0.1316618673844437,74,28_515_shc_2025-26.699,177,86.9,302.9800456197638,14.173949,79.553736,75.0,0.10567755252122879,0.16404885053634644,0.23,17.7,0.0007555945000877731,0.11769614920963362,1.314842700958252,412,252,1,0.19181154485334428,303.7188754834627,Kambhalapalle
207,0.05530000105500221,0.2876499891281128,0.17409999668598175,0.07067500054836273,0.1062999963760376,0.10540000349283218,0.1748500019311905,0.27250000834465027,0.33079999685287476,0.3296000063419342,0.35910001397132874,0.36809998750686646,338,0.3914276971215793,13,28_515_shc_2025-26.5262,183,192.4,302.76878688209933,14.175,79.795,151.0,0.3067697584629059,0.5154023170471191,0.24,50.69,0.0008863091853354286,0.35967914517250554,0.8727244734764099,329,334,2,0.2614608563874897,303.54699191712496,Ramasagaram
27,0.08217500150203705,0.3122499883174896,0.259550005197525,0.09915000200271606,0.12345000356435776,0.1430249959230423,0.18529999256134033,0.22611667215824127,0.25116249918937683,0.255825012922287,0.27184998989105225,0.2862333357334137,320,0.20578687777850632,28,28_515_shc_2025-26.8366,177,415.9,303.0659317217375,14.178,79.742,13.0,0.15987536311149597,0.2828131318092346,0.37,16.1,0.0008190243098064764,0.18824055608145668,1.2205607891082764,369,311,2,0.21051701328210665,303.8115975229364,Vemulachedu
27,0.08217500150203705,0.3122499883174896,0.259550005197525,0.09915000200271606,0.12345000356435776,0.1430249959230423,0.18529999256134033,0.22611667215824127,0.25116249918937683,0.255825012922287,0.27184998989105225,0.2862333357334137,320,0.20578687777850632,28,28_515_shc_2025-26.8302,177,521.4,303.0659317217375,14.178,79.742,163.0,0.15987536311149597,0.2828131318092346,0.18,0.8,0.0008190243098064764,0.18824055608145668,1.2205607891082764,369,311,2,0.21051701328210665,303.8115975229364,Ananthamadugu
27,0.08217500150203705,0.3122499883174896,0.259550005197525,0.09915000200271606,0.12345000356435776,0.1430249959230423,0.18529999256134033,0.22611667215824127,0.25116249918937683,0.255825012922287,0.27184998989105225,0.2862333357334137,320,0.20578687777850632,28,28_515_shc_2025-26.9306,177,186.2,303.0659317217375,14.178,79.742,138.0,0.15987536311149597,0.2828131318092346,0.05,6.9,0.0008190243098064764,0.18824055608145668,1.2205607891082764,369,311,2,0.21051701328210665,303.8115975229364,Devaravemur
27,0.08217500150203705,0.3122499883174896,0.259550005197525,0.09915000200271606,0.12345000356435776,0.1430249959230423,0.18529999256134033,0.22611667215824127,0.25116249918937683,0.255825012922287,0.27184998989105225,0.2862333357334137,320,0.20578687777850632,28,28_515_shc_2025-26.8353,177,186.2,303.0659317217375,14.178,79.742,163.0,0.15987536311149597,0.2828131318092346,0.22,1.5,0.0008190243098064764,0.18824055608145668,1.2205607891082764,369,311,2,0.21051701328210665,303.8115975229364,Ananthamadugu
27,0.08217500150203705,0.3122499883174896,0.259550005197525,0.09915000200271606,0.12345000356435776,0.1430249959230423,0.18529999256134033,0.22611667215824127,0.25116249918937683,0.255825012922287,0.27184998989105225,0.2862333357334137,320,0.20578687777850632,28,28_515_shc_2025-26.8355,177,37.2,303.0659317217375,14.178,79.742,226.0,0.15987536311149597,0.2828131318092346,0.1,3.8,0.0008190243098064764,0.18824055608145668,1.2205607891082764,369,311,2,0.21051701328210665,303.8115975229364,Devaravemur
27,0.08217500150203705,0.3122499883174896,0.259550005197525,0.09915000200271606,0.12345000356435776,0.1430249959230423,0.18529999256134033,0.22611667215824127,0.25116249918937683,0.255825012922287,0.27184998989105225,0.2862333357334137,320,0.20578687777850632,28,28_515_shc_2025-26.9397,177,583.5,303.0659317217375,14.178,79.742,88.0,0.15987536311149597,0.2828131318092346,0.18,11.5,0.0008190243098064764,0.18824055608145668,1.2205607891082764,369,311,2,0.21051701328210665,303.8115975229364,Ananthamadugu
27,0.08217500150203705,0.3122499883174896,0.259550005197525,0.09915000200271606,0.12345000356435776,0.1430249959230423,0.18529999256134033,0.22611667215824127,0.25116249918937683,0.255825012922287,0.27184998989105225,0.2862333357334137,320,0.20578687777850632,28,28_515_shc_2025-26.2271,177,192.4,303.0659317217375,14.178,79.742,88.0,0.15987536311149597,0.2828131318092346,0.11,7.5,0.0008190243098064764,0.18824055608145668,1.2205607891082764,369,311,2,0.21051701328210665,303.8115975229364,Ananthamadugu
27,0.08217500150203705,0.3122499883174896,0.259550005197525,0.09915000200271606,0.12345000356435776,0.1430249959230423,0.18529999256134033,0.22611667215824127,0.25116249918937683,0.255825012922287,0.27184998989105225,0.2862333357334137,320,0.20578687777850632,28,28_515_shc_2025-26.9196,177,273.1,303.0659317217375,14.178,79.742,113.0,0.15987536311149597,0.2828131318092346,0.27,0.8,0.0008190243098064764,0.18824055608145668,1.2205607891082764,369,311,2,0.21051701328210665,303.8115975229364,Devaravemur
